,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
RNA Polymerase II Transcription,13.473726999999998,9.0,13.473726999999998,7.453778,5.202202,5.0
Post-translational protein modification,11.18404,13.0,11.18404,6.1433230000000005,2.5670542999999997,5.0
Cellular responses to stress,6.6106906,6.0,6.6106906,3.5258616999999997,2.5986502000000002,5.0
Innate Immune System,6.1893625,14.0,6.1893625,3.2847233,0.45220235,5.0
Signaling by Rho GTPases,5.738851,3.0,5.738851,3.0268824,3.193023,5.0
Adaptive Immune System,5.129077400000001,9.0,5.129077400000001,2.6778912999999998,0.7480739000000001,5.0
"Cell Cycle, Mitotic",3.4556730000000004,6.0,3.4556730000000004,1.7201531000000003,0.91459495,5.0
Intracellular signaling by second messengers,2.9494395,3.0,2.9494395,1.4304208999999999,1.7041174,5.0
Diseases of signal transduction,1.4772036,10.0,1.4772036,0.5878173000000001,1.5544337,5.0
Cytokine Signaling in Immune system,1.3587785,6.0,1.3587785,0.52003914,0.2046655,5.0
