,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
Ub-specific processing proteases,4.8623495000000005,2.0,0.038898800000000004,0.0006268930999999999,7.557280499999999,2.0
Activated PKN1 stimulates transcription of AR (androgen rece...,4.7298374,15.0,4.7298374,17.661997,13.148575,2.0
HSP90 chaperone cycle for steroid hormone receptors (SHR),4.713426999999999,2.0,4.713426999999999,5.4881167,4.3518360000000005,2.0
Neutrophil degranulation,4.697487000000001,2.0,0.020603014,0.06825669,1.5002214,2.0
RUNX2 regulates bone development,4.457471400000001,19.0,4.457471400000001,16.63654,12.157114,2.0
Antigen processing: Ubiquitination & Proteasome degradation,2.9840374,2.0,0.015623231999999999,0.087005556,1.3643245000000002,2.0
SUMOylation of intracellular receptors,2.7984822,19.0,2.7984822,10.390450999999999,7.4399757,2.0
Nuclear Receptor transcription pathway,2.721272,2.0,2.721272,6.819062700000001,5.172733999999999,2.0
Regulation of TP53 Activity,2.2463799,116.0,0.019365344,0.072916515,0.6073776999999999,2.0
TP53 Regulates Metabolic Genes,1.615831,46.0,1.615831,5.937772799999999,2.6123557,2.0
